Meno,Link,Licencia
Klubový vianočný bleskový turnaj 2024 Šac,https://chess-results.com/tnr1083521.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Network Cafe Bardejov - GPX mládeže - 7.1.2023,https://chess-results.com/tnr715313.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 14.1.202,https://chess-results.com/tnr717791.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 21.1.202,https://chess-results.com/tnr719144.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 28.1.202,https://chess-results.com/tnr721983.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 4.2.2023,https://chess-results.com/tnr724663.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 11.2.2023 ,https://chess-results.com/tnr728073.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 18.2.2023 ,https://chess-results.com/tnr730860.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 25.2.2023 ,https://chess-results.com/tnr733209.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 4.3.2023 ,https://chess-results.com/tnr737317.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 18.3.2023 ,https://chess-results.com/tnr743455.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 25.3.2023 ,https://chess-results.com/tnr746051.aspx,Creator/Last Upload: Slovak Chess Federation
Bašta Bardejov - GPX mládeže - 1.4.2023 ,https://chess-results.com/tnr749575.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 15.4.202,https://chess-results.com/tnr754550.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 22.4.202,https://chess-results.com/tnr757650.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 6.5.2023,https://chess-results.com/tnr763597.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 13.5.202,https://chess-results.com/tnr766434.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 20.5.202,https://chess-results.com/tnr769871.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 27.5.202,https://chess-results.com/tnr772705.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - 3.6.2023 ,https://chess-results.com/tnr775804.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - 1.7.2023 ,https://chess-results.com/tnr788562.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 9.9.2023,https://chess-results.com/tnr817213.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 16.9.202,https://chess-results.com/tnr820218.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 23.9.202,https://chess-results.com/tnr823432.aspx,Creator/Last Upload: Slovak Chess Federation
3. Liga C2 ,https://chess-results.com/tnr818598.aspx,Creator/Last Upload: Slovak Chess Federation license 1
SVK 2. liga C 2023/2024 ,https://chess-results.com/tnr813084.aspx,Creator/Last Upload: Slovak Chess Federation license 1
SVK 2. liga B 2023/2024 ,https://chess-results.com/tnr813195.aspx,Creator/Last Upload: Slovak Chess Federation license 3
2.Liga D 2023/2024 ,https://chess-results.com/tnr815422.aspx,Creator/Last Upload: Slovak Chess Federation license 1
2. liga A 2023/24 ,https://chess-results.com/tnr818247.aspx,Creator/Last Upload: Slovak Chess Federation license 3
SVK_4.liga B22 2023/2024 Základná časť,https://chess-results.com/tnr821167.aspx,Creator/Last Upload: Slovak Chess Federation license 3
SVK 4. liga B1 2023/2024 ,https://chess-results.com/tnr821034.aspx,Creator/Last Upload: Slovak Chess Federation license 3
5.liga C21 ročník 2023/2024,https://chess-results.com/tnr822088.aspx,Creator/Last Upload: Slovak Chess Federation license 1
4.liga skupina C12 2023/2024 ,https://chess-results.com/tnr812154.aspx,Creator/Last Upload: Slovak Chess Federation license 1
4.liga A22 2023/2024 ,https://chess-results.com/tnr820674.aspx,Creator/Last Upload: Slovak Chess Federation license 5
4.liga A21 2023/2024 ,https://chess-results.com/tnr820672.aspx,Creator/Last Upload: Slovak Chess Federation license 5
SVK 5. liga A11b_2023_24 ,https://chess-results.com/tnr826876.aspx,Creator/Last Upload: Slovak Chess Federation license 5
SVK 5. liga A11a_2023_24 ,https://chess-results.com/tnr826760.aspx,Creator/Last Upload: Slovak Chess Federation license 5
5. liga Zilina 2023/2024 ,https://chess-results.com/tnr822674.aspx,Creator/Last Upload: Slovak Chess Federation license 1
4.liga skupina D31 rocnik 2023/2024 ,https://chess-results.com/tnr824497.aspx,Creator/Last Upload: Slovak Chess Federation license 2
SVK 4.liga A11 2023/2024 ,https://chess-results.com/tnr825762.aspx,Creator/Last Upload: Slovak Chess Federation license 5
